FACILITY,CLUSTER_FM,ZIP_CODE_INIT,ZIP_CODE_END,BAIRRO,CIDADE_PRINCIPAL,UF,TIPO_VEICULO,QTD_DEMANDA_FM,P0_FM,P1_FM,P2_FM,TOTAL_FM,ID_MASTER,TZONE
BRXSP5 - RAO,11,38402324,38402324,,Uberlândia,MG,UTILITARIOS,0,,,,0,,SK01
BRXSP1 - ARE,25,3022070,3022070,Catumbi,São Paulo,SP,UTILITARIOS,0,,,,0,,SK01
BRXSP1 - ARE,25,3022070,3022070,Catumbi,São Paulo,SP,VAN,0,,,,0,1-15-25-2,SK01
BRXSP1 - ARE,25,3022070,3022070,Catumbi,São Paulo,SP,HR,1,,,1,1,1-15-25-3,SK01
BRXSP1 - ARE,25,3022070,3022070,Catumbi,São Paulo,SP,VUC,2,,,2,2,1-15-25-4,SK01
BRXSP1 - ARE,25,3022070,3022070,Catumbi,São Paulo,SP,MEDIO,0,,,,0,1-15-25-5,SK01
BRXSP1 - ARE,25,3022070,3022070,Catumbi,São Paulo,SP,TOCO,0,,,,0,1-15-25-6,SK01
BRXSP1 - ARE,25,3022070,3022070,Catumbi,São Paulo,SP,TRUCK,0,,,,0,1-15-25-7,SK01
BRXSP1 - ARE,25,3022070,3022070,Catumbi,São Paulo,SP,CARRETA,0,,,,0,1-15-25-8,SK01
BRXSP5 - RAO,11,38402324,38402324,,Uberlândia,MG,VAN,0,,,,0,1-22-11-2,SK01
BRXSP5 - RAO,11,38402324,38402324,,Uberlândia,MG,HR,0,,,,0,1-22-11-3,SK01
BRXSP5 - RAO,11,38402324,38402324,,Uberlândia,MG,VUC,0,,,,0,1-22-11-4,SK01
BRXSP5 - RAO,11,38402324,38402324,,Uberlândia,MG,MEDIO,0,,,,0,1-22-11-5,SK01
BRXSP5 - RAO,11,38402324,38402324,,Uberlândia,MG,TOCO,0,,,,0,1-22-11-6,SK01
BRXSP5 - RAO,11,38402324,38402324,,Uberlândia,MG,TRUCK,0,,,,0,1-22-11-7,SK01
BRXSP5 - RAO,11,38402324,38402324,,Uberlândia,MG,CARRETA,0,,,,0,1-22-11-8,SK01
BRXSP18 - Santo André,22,9961710,9961710,,Diadema,SP,UTILITARIOS,0,,,,0,,SK02
BRXSP18 - Santo André,22,9840000,9840000,,São Bernardo do Campo,SP,UTILITARIOS,0,,,,0,,SK02
BRXSP18 - Santo André,22,9891040,9891040,,São Bernardo do Campo,SP,UTILITARIOS,0,,,,0,,SK02
BRXSP18 - Santo André,1,9663020,9663020,,São Bernardo do Campo,SP,UTILITARIOS,0,,,,0,,SK02
BRXSP1 - ARE,1,3054020,3054020,Belenzinho,São Paulo,SP,UTILITARIOS,0,,,,0,,SK02
BRXSP1 - ARE,1,3054020,3054020,Belenzinho,São Paulo,SP,VAN,1,,,1,1,1-15-1-2,SK02
BRXSP1 - ARE,1,3054020,3054020,Belenzinho,São Paulo,SP,HR,1,,,1,1,1-15-1-3,SK02
BRXSP1 - ARE,1,3054020,3054020,Belenzinho,São Paulo,SP,VUC,1,,,1,1,1-15-1-4,SK02
BRXSP1 - ARE,1,3054020,3054020,Belenzinho,São Paulo,SP,MEDIO,0,,,,0,1-15-1-5,SK02
BRXSP1 - ARE,1,3054020,3054020,Belenzinho,São Paulo,SP,TOCO,0,,,,0,1-15-1-6,SK02
