ZIP_CODE_INIT,ZIP_CODE_END,BAIRRO,CIDADE_PRINCIPAL,UF,TIPO_VEICULO,SVC_CENTRALIZADOR,REGIAO_CENTRALIZADOR,UF_CENTRALIZADOR,DEMANDA_CENTRALIZADOR,PRIORIDADE_CENTRALIZADOR,SVC_CONVENCIONAL,UF_CONVENCIONAL,REGIAO_CONVENCIONAL,DEMANDA_CONVENCIONAL,PRIORIDADE_CONVENCIONAL,ID_MASTER_CONVENCIONAL,ID_MASTER_CENTRALIZADOR
57081000,57083999,,Maceió,AL,UTILITARIOS,,,,0,2,SAL1 - Maceió,Alagoas,Maceió,20,2,3-1-0-1,
57070000,57071999,,Maceió,AL,UTILITARIOS,,,,0,2,SAL1 - Maceió,Alagoas,Maceió,20,2,3-1-0-1,
57611700,57611799,,Palmeira dos Índios,AL,UTILITARIOS,,,,0,2,SAL1 - Maceió,Alagoas,Maceió,20,2,3-1-0-1,
57945000,57945999,,Porto de Pedras,AL,UTILITARIOS,,,,0,2,SAL1 - Maceió,Alagoas,Maceió,20,2,3-1-0-1,
57269640,57269659,,Teotônio Vilela,AL,UTILITARIOS,,,,0,2,SAL1 - Maceió,Alagoas,Maceió,20,2,3-1-0-1,
57615000,57615999,,Minador do Negrão,AL,UTILITARIOS,,,,0,2,SAL1 - Maceió,Alagoas,Maceió,20,2,3-1-0-1,
57264530,57264539,,Limoeiro de Anadia,AL,UTILITARIOS,,,,0,2,SAL1 - Maceió,Alagoas,Maceió,20,2,3-1-0-1,
56537000,56537999,,Buíque,PE,UTILITARIOS,,,,0,2,SAL1 - Maceió,Alagoas,Maceió,20,2,3-1-0-1,
63165000,63165999,,Nova Olinda,CE,UTILITARIOS,,,,0,2,SAL1 - Maceió,Alagoas,Maceió,20,2,3-1-0-1,
57269660,57269679,,Teotônio Vilela,AL,UTILITARIOS,,,,0,2,SAL1 - Maceió,Alagoas,Maceió,20,2,3-1-0-1,
63139500,63139999,,Crato,CE,UTILITARIOS,,,,0,2,SAL1 - Maceió,Alagoas,Maceió,20,2,3-1-0-1,
57264560,57264569,,Limoeiro de Anadia,AL,UTILITARIOS,,,,0,2,SAL1 - Maceió,Alagoas,Maceió,20,2,3-1-0-1,
57039000,57039999,,Maceió,AL,UTILITARIOS,,,,0,2,SAL1 - Maceió,Alagoas,Maceió,20,2,3-1-0-1,
57820000,57820999,,Murici,AL,UTILITARIOS,,,,0,2,SAL1 - Maceió,Alagoas,Maceió,20,2,3-1-0-1,
57340000,57340999,,Feira Grande,AL,UTILITARIOS,,,,0,2,SAL1 - Maceió,Alagoas,Maceió,20,2,3-1-0-1,
63139000,63139499,,Crato,CE,UTILITARIOS,,,,0,2,SAL1 - Maceió,Alagoas,Maceió,20,2,3-1-0-1,
57264600,57264609,,Limoeiro de Anadia,AL,UTILITARIOS,,,,0,2,SAL1 - Maceió,Alagoas,Maceió,20,2,3-1-0-1,
57072000,57072999,,Maceió,AL,UTILITARIOS,,,,0,2,SAL1 - Maceió,Alagoas,Maceió,20,2,3-1-0-1,
57629300,57629999,,Estrela de Alagoas,AL,UTILITARIOS,,,,0,2,SAL1 - Maceió,Alagoas,Maceió,20,2,3-1-0-1,
63205000,63205999,,Missão Velha,CE,UTILITARIOS,,,,0,2,SAL1 - Maceió,Alagoas,Maceió,20,2,3-1-0-1,
57052000,57054999,,Maceió,AL,UTILITARIOS,,,,0,2,SAL1 - Maceió,Alagoas,Maceió,20,2,3-1-0-1,
57319890,57319999,,Arapiraca,AL,UTILITARIOS,,,,0,2,SAL1 - Maceió,Alagoas,Maceió,20,2,3-1-0-1,
57279000,57279999,,São Sebastião,AL,UTILITARIOS,,,,0,2,SAL1 - Maceió,Alagoas,Maceió,20,2,3-1-0-1,
57318200,57318249,,Arapiraca,AL,UTILITARIOS,,,,0,2,SAL1 - Maceió,Alagoas,Maceió,20,2,3-1-0-1,
63548000,63548999,,Várzea Alegre,CE,UTILITARIOS,,,,0,2,SAL1 - Maceió,Alagoas,Maceió,20,2,3-1-0-1,
57611800,57611899,,Palmeira dos Índios,AL,UTILITARIOS,,,,0,2,SAL1 - Maceió,Alagoas,Maceió,20,2,3-1-0-1,
57319500,57319599,,Arapiraca,AL,UTILITARIOS,,,,0,2,SAL1 - Maceió,Alagoas,Maceió,20,2,3-1-0-1,
56501010,56519499,,Arcoverde,PE,UTILITARIOS,,,,0,2,SAL1 - Maceió,Alagoas,Maceió,20,2,3-1-0-1,
63555000,63555999,,Várzea Alegre,CE,UTILITARIOS,,,,0,2,SAL1 - Maceió,Alagoas,Maceió,20,2,3-1-0-1,
57958000,57958999,,Maragogi,AL,UTILITARIOS,,,,0,2,SAL1 - Maceió,Alagoas,Maceió,20,2,3-1-0-1,
57264660,57264669,,Limoeiro de Anadia,AL,UTILITARIOS,,,,0,2,SAL1 - Maceió,Alagoas,Maceió,20,2,3-1-0-1,
57062001,57069999,,Maceió,AL,UTILITARIOS,,,,0,2,SAL1 - Maceió,Alagoas,Maceió,20,2,3-1-0-1,
57770000,57770999,,Cajueiro,AL,UTILITARIOS,,,,0,2,SAL1 - Maceió,Alagoas,Maceió,20,2,3-1-0-1,
55374000,55374999,,São Bento do Una,PE,UTILITARIOS,,,,0,2,SAL1 - Maceió,Alagoas,Maceió,20,2,3-1-0-1,
57430000,57430999,,Jacaré dos Homens,AL,UTILITARIOS,,,,0,2,SAL1 - Maceió,Alagoas,Maceió,20,2,3-1-0-1,
57264380,57264389,,Limoeiro de Anadia,AL,UTILITARIOS,,,,0,2,SAL1 - Maceió,Alagoas,Maceió,20,2,3-1-0-1,
57264430,57264439,,Limoeiro de Anadia,AL,UTILITARIOS,,,,0,2,SAL1 - Maceió,Alagoas,Maceió,20,2,3-1-0-1,
57062000,57062000,,Maceió,AL,UTILITARIOS,,,,0,2,SAL1 - Maceió,Alagoas,Maceió,20,2,3-1-0-1,
55290000,55299999,,Garanhuns,PE,UTILITARIOS,,,,0,2,SAL1 - Maceió,Alagoas,Maceió,20,2,3-1-0-1,
57510000,57510999,,Poço das Trincheiras,AL,UTILITARIOS,,,,0,2,SAL1 - Maceió,Alagoas,Maceió,20,2,3-1-0-1,
63225000,63225999,,Caririaçu,CE,UTILITARIOS,,,,0,2,SAL1 - Maceió,Alagoas,Maceió,20,2,3-1-0-1,
57611300,57611399,,Palmeira dos Índios,AL,UTILITARIOS,,,,0,2,SAL1 - Maceió,Alagoas,Maceió,20,2,3-1-0-1,
63084000,63084999,,Juazeiro do Norte,CE,UTILITARIOS,,,,0,2,SAL1 - Maceió,Alagoas,Maceió,20,2,3-1-0-1,
57750000,57750999,,Quebrangulo,AL,UTILITARIOS,,,,0,2,SAL1 - Maceió,Alagoas,Maceió,20,2,3-1-0-1,
57319780,57319799,,Arapiraca,AL,UTILITARIOS,,,,0,2,SAL1 - Maceió,Alagoas,Maceió,20,2,3-1-0-1,
57950000,57950999,,Japaratinga,AL,UTILITARIOS,,,,0,2,SAL1 - Maceió,Alagoas,Maceió,20,2,3-1-0-1,
57611200,57611299,,Palmeira dos Índios,AL,UTILITARIOS,,,,0,2,SAL1 - Maceió,Alagoas,Maceió,20,2,3-1-0-1,
63214000,63214999,,Mauriti,CE,UTILITARIOS,,,,0,2,SAL1 - Maceió,Alagoas,Maceió,20,2,3-1-0-1,
63215000,63215999,,Mauriti,CE,UTILITARIOS,,,,0,2,SAL1 - Maceió,Alagoas,Maceió,20,2,3-1-0-1,
63270000,63270999,,Porteiras,CE,UTILITARIOS,,,,0,2,SAL1 - Maceió,Alagoas,Maceió,20,2,3-1-0-1,
55320000,55320999,,Lagoa do Ouro,PE,UTILITARIOS,,,,0,2,SAL1 - Maceió,Alagoas,Maceió,20,2,3-1-0-1,
57269520,57269539,,Teotônio Vilela,AL,UTILITARIOS,,,,0,2,SAL1 - Maceió,Alagoas,Maceió,20,2,3-1-0-1,
56160000,56160999,,Granito,PE,UTILITARIOS,,,,0,2,SAL1 - Maceió,Alagoas,Maceió,20,2,3-1-0-1,
