cep,vehicle_type,covered,region,delivery_days
01001000,moto,true,centro-sp,1
01001000,carro,true,centro-sp,1
01001000,van,true,centro-sp,2
04001000,moto,true,sul-sp,1
04001000,carro,true,sul-sp,2
04001000,van,true,sul-sp,2
08000000,moto,true,leste-sp,2
08000000,carro,true,leste-sp,2
08000000,van,false,leste-sp,0
20040020,moto,true,centro-rj,2
20040020,carro,true,centro-rj,2
20040020,van,true,centro-rj,3
30130000,moto,true,centro-bh,3
30130000,carro,true,centro-bh,3
30130000,van,false,centro-bh,0
